"Refid","Author","Title","Year","User","Level","Subsection Title","Experimental outcome addressed in experiment/assay.","Is the experiment/assay of sufficient quality?","If “No”; Which domain(s) of study quality failed? -> Exposure Assessment or Assignment","If “No”; Which domain(s) of study quality failed? -> Outcome Assessment/Evaluation","If “No”; Which domain(s) of study quality failed? -> Study Design","Rationale for study quality judgement.","Animal Type -> Mouse","Animal Type -> Rat","Rat -> Long-Evans","Rat -> Sprague Dawley","Rat -> Wistar","Rat -> Not Specified","Mouse -> CD1","Mouse -> C57BL/6","Mouse -> ICR","Mouse -> Agouti","Mouse -> Not Specified","Mouse -> CBA/CaJ","Mouse -> Tg-SWDI","Mouse -> Kunming","Groups, Sex, and Number of Animals Reported","Form of Pb","Exposure Route -> Oral, diet","Exposure Route -> Oral, drinking water","Exposure Route -> Oral, gavage","Exposure Route -> Oral, lactation","Exposure Route -> Inhalation","Exposure Route -> In utero","Is this a developmental exposure?","What stage of development was assessed? Select all that apply. -> Preconception","What stage of development was assessed? Select all that apply. -> Prenatal","What stage of development was assessed? Select all that apply. -> Postnatal","What stage of development was assessed? Select all that apply. -> Juvenile/Adolescent","What stage of development was assessed? Select all that apply. -> Continued to Adult","What stage of development was assessed? Select all that apply. -> Multigenerational","Start and end day of exposure","Exposure Duration -> Short-Term (less than or equal to 30 days)","Exposure Duration -> Short-Term (less than or equal to 30 days) (COMMENT)","Exposure Duration -> Long-Term (greater than 30 days)","Exposure Duration -> Long-Term (greater than 30 days) (COMMENT)","Exposure Design Notes","Time of Outcome Assessment
Report day(s) outcome was assessed (e.g., PND 21, 28, 35).","Blood Lead Level - Reported Units","Blood Lead Level- Converted to ug/dL","Does this study involve an at-risk population?","Additional Notes"
2857020,"Weston, H. I., Weston, D. D., Allen, J. L., Cory-Slechta, D. A.","Sex-dependent impacts of low-level lead exposure and prenatal stress on impulsive choice behavior and associated biochemical and neurochemical manifestations",2014,Anderson.Timothy@epa.gov,2,"Brain Structure and Function",Neurotransmitter,Yes,,,,,,Rat,Long-Evans,,,,,,,,,,,,"Control (tap water), M/F, n = 18-22 (9-11/9-11)
50 ppm, M/F, n = 18-22 (9-11/9-11)","Pb acetate",,,,"Oral, lactation",,"In utero",Yes,Preconception,Prenatal,Postnatal,,,,"GD -60 to PND 21",,,"Long-Term (greater than 30 days)",97,"dams were exposed to Pb in drinking water from approximately 3 weeks of age through weaning. mating occurred when dams were 3 mos of age. The authors report that Pb exposure began 2-3 mos prior to breeding. 

This study included prenatal stress x Pb exposure arms, only the non prenatal stress groups were extracted here.","PND 60","PND 5-6 - Males:
0.76 ug/dL for Control
15.7 ug/dL for 50 ppm

PND 5-6 Females:
0.82 ug/dL for Control
14.7 ug/dL for 50 ppm","PND 5-6 - Males:
0.76 ug/dL for Control
15.7 ug/dL for 50 ppm

PND 5-6 Females:
0.82 ug/dL for Control
14.7 ug/dL for 50 ppm",Yes,"Neurotransmitters (DA, DOPAC, HVA, NE, 5-HT, 5-HIAA) were assessed in various brain regions (frontal cortex, nucleus accumbens, striatum,  midbrain and hypothalamus) in a subset of animals that did not undergo behavioral testing. Authors report 9-11 samples/sex/treatment with some variation."
2951924,"Betharia, S., Maher, T. J.","Neurobehavioral effects of lead and manganese individually and in combination in developmentally exposed rats",2012,Hester.Kirstin@epa.gov,2,"Internalizing Behaviors","Open Field Test",Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"PND 24:
Control (RO DI water), M/F, n = 11-13
10 ug/mL, M/F, n = 11-13

PND 59:
Control (RO DI water), M/F, n = 10-11
10 ug/mL, M/F, n = 10-11","Pb (II) Acetate Trihydrate",,,,"Oral, lactation",,"In utero",Yes,,Prenatal,Postnatal,,,,"GD 0 to PND 20",,,"Long-Term (greater than 30 days)",37,"Dams were exposed via drinking water from GD0 to PND 20, then sacrificed.","PND 24, 59","PND 2:
1.77 ng/g (0.188 ug/dL) for Control
85.17 ng/g (9.02 ug/dL) for 10 ug/mL

PND 25:
0.83 ng/g (0.088 ug/dL) for Control
9.21 ng/g (0.98 ug/dL) for 10 ug/mL

PND 60:
0.23 ng/g (0.024 ug/dL) for Control
0.30 ng/g (0.032 ug/dL) for 10 ug/mL","PND 2:
0.188 ug/dL  for Control
9.02 ug/dL for 10 ug/mL

PND 25:
0.088 ug/dL for Control
0.98 ug/dL for 10 ug/mL

PND 60:
0.024 ug/dL for Control
0.032 ug/dL for 10 ug/mL",Yes,"The authors note that two males and two females from each litter were chosen for behavior performance and that the same animals were monitored longitudinally at both PND 24 and PND 59. Different animals were used for MWM and Open-field. It is not clear why there are different sample sizes between the two assessment time points. Perhaps this is due to sacrificing one animal/litter /time point for blood and brain collection."
2951924,"Betharia, S., Maher, T. J.","Neurobehavioral effects of lead and manganese individually and in combination in developmentally exposed rats",2012,Anderson.Timothy@epa.gov,2,"Cognitive Function","Morris Water Maze",Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"PND 21-25:
Control (RO DI water), M/F, n = 11-13 
10 ug/mL , M/F, n = 11-13

PND 56-60:
Control (RO DI water), M/F, n = 9-11
10 ug/mL, M/F, n = 9-11","Pb (II) Acetate Trihydrate",,,,"Oral, lactation",,"In utero",Yes,,Prenatal,Postnatal,,,,"GD 0 to PND 20",,,"Long-Term (greater than 30 days)",37,"Dams were exposed via drinking water from GD0 to PND 20, then sacrificed.","PND 21-25, 56-60","PND 2:
1.77 ng/g (0.188 ug/dL) for Control
85.17 ng/g (9.02 ug/dL) for 10 ug/mL

PND 25:
0.83 ng/g (0.088 ug/dL) for Control
9.21 ng/g (0.98 ug/dL) for 10 ug/mL

PND 60:
0.23 ng/g (0.024 ug/dL) for Control
0.30 ng/g (0.032 ug/dL) for 10 ug/mL","PND 2:
0.188 ug/dL  for Control,
9.02 ug/dL for 10 ug/mL

PND 25:
0.088 ug/dL for Control
0.98 ug/dL for 10 ug/mL

PND 60:
0.024 ug/dL for Control
0.032 ug/dL for 10 ug/mL",Yes,"The authors note that two males and two females from each litter were chosen for behavior performance and that the same animals were monitored longitudinally at both PND 21 and PND 56. Different animals were used for MWM and Open-field. It is not clear why there are different sample sizes between the two assessment time points."
2951924,"Betharia, S., Maher, T. J.","Neurobehavioral effects of lead and manganese individually and in combination in developmentally exposed rats",2012,Anderson.Timothy@epa.gov,2,"Motor Function","Open Field Test",Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"PND 24:
Control (RO DI water), M/F, n = 11-13
10 ug/mL, M/F, n = 11-13

PND 59:
Control (RO DI water), M/F, n = 10-11
10 ug/mL, M/F, n = 10-11","Pb (II) Acetate Trihydrate",,,,"Oral, lactation",,"In utero",Yes,,Prenatal,Postnatal,,,,"GD 0 to PND 20",,,"Long-Term (greater than 30 days)",37,"Dams were exposed via drinking water from GD0 to PND 20, then sacrificed.","PND 24, 59","PND 2:
1.77 ng/g (0.188 ug/dL) for Control
85.17 ng/g (9.02 ug/dL) for 10 ug/mL

PND 25:
0.83 ng/g (0.088 ug/dL) for Control
9.21 ng/g (0.98 ug/dL) for 10 ug/mL

PND 60:
0.23 ng/g (0.024 ug/dL) for Control
0.30 ng/g (0.032 ug/dL) for 10 ug/mL","PND 2:
0.188 ug/dL  for Control
9.02 ug/dL for 10 ug/mL

PND 25:
0.088 ug/dL for Control
0.98 ug/dL for 10 ug/mL

PND 60:
0.024 ug/dL for Control
0.032 ug/dL for 10 ug/mL",Yes,"The authors note that two males and two females from each litter were chosen for behavior performance and that the same animals were monitored longitudinally at both PND 24 and PND 59. Different animals were used for MWM and Open-field. It is not clear why there are different sample sizes between the two assessment time points. Perhaps this is due to sacrificing one animal/litter /time point for blood and brain collection."
2951924,"Betharia, S., Maher, T. J.","Neurobehavioral effects of lead and manganese individually and in combination in developmentally exposed rats",2012,Jones.Anthony.J@epa.gov,2,"Motor Function","Surface Righting Reflex",Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"PND 1-2:
Control (RO DI water), M/F, n = 68-71
10 ug/mL , M/F, n = 68-71

PND 3-10:
Control (RO DI water), M/F, n = 48
10 ug/mL, M/F, n = 10-11","Pb (II) Acetate Trihydrate",,,,"Oral, lactation",,"In utero",Yes,,Prenatal,Postnatal,,,,"GD 0 to PND 20",,,"Long-Term (greater than 30 days)",37,"Dams were exposed via drinking water from GD 0 to PND 20, then sacrificed.","PND 1-10","PND 2:
1.77 ng/g (0.188 ug/dL) for Control
85.17 ng/g (9.02 ug/dL) for 10 ug/mL

PND 25:
0.83 ng/g (0.088 ug/dL) for Control
9.21 ng/g (0.98 ug/dL) for 10 ug/mL

PND 60:
0.23 ng/g (0.024 ug/dL) for Control
0.30 ng/g (0.032 ug/dL) for 10 ug/mL","PND 2:
0.188 ug/dL  for Control,
9.02 ug/dL for 10 ug/mL

PND 25:
0.088 ug/dL for Control,
0.98 ug/dL for 10 ug/mL

PND 60:
0.024 ug/dL for Control
0.032 ug/dL for 10 ug/mL",Yes,"The authors note that two males and two females from each litter were chosen for behavior performance and that the same animals were monitored longitudinally at both PND 24 and PND 59. Different animals were used for MWM and Open-field. It is not clear why there are different sample sizes between the two assessment time points. Perhaps this is due to sacrificing one animal/litter /time point for blood and brain collection."
3042975,"Faulk, C., Barks, A., Sánchez, B. N., Zhang, Z., Anderson, O. S., Peterson, K. E., Dolinoy, D. C.","Perinatal lead (Pb) exposure results in sex-specific effects on food intake, fat, weight, and insulin response across the murine life-course",2014,Anderson.Timothy@epa.gov,2,"Motor Function","Locomotor Activity",Yes,,,,,Mouse,,,,,,,,,Agouti,,,,,"Control (distilled water), M/F, n = 30
2.1 ppm, M/F, n = 28
16 ppm, M/F, n = 33
32 ppm, M/F, n = 29","Pb (II) Acetate Trihydrate",,,,"Oral, lactation",,"In utero",Yes,Preconception,Prenatal,Postnatal,,,,"GD -14 to PND 21",,,"Long-Term (greater than 30 days)",35,"A^vy agouti mice were used in this study. Heterozygous for the A^vy allele through the male line. 

a/a Dams were exposed to Pb from 2 weeks prior to mating up until weaning. Only a/a pups were used in the study to avoid confounding with obesity. 

Pups were ""phenotyped,"" which includes motor activity at the behavior core facility at 3, 6, and 9 mo of age. It was not specified how long the animals stayed in the behavior facility, though data from only a single locomotor session is presented.","PND 90, 180, and 270","PND 21 (Maternal BLL):
<LOD for Control
4.1 ug/dL for 2.1 ppm
25.1 ug/dL for 16 ppm
32.1 ug/dL for 32 ppm","PND 21 (Maternal BLL):
<LOD for Control
4.1 ug/dL for 2.1 ppm
25.1 ug/dL for 16 ppm
32.1 ug/dL for 32 ppm",Yes,
3043072,"Han, X. J., Xiao, Y. M., Ai, B. M., Hu, X. X., Wei, Q., Hu, Q. S.","Effects of organic selenium on lead-induced impairments of spatial learning and memory as well as synaptic structural plasticity in rats",2014,Hester.Kirstin@epa.gov,2,"Cognitive Function","Morris Water Maze",Yes,,,,,,Rat,,,Wistar,,,,,,,,,,"Control (tap water), M, n = 8 
2 mM - post-weaning (PW), M, n = 8
2 mM - maternal exposure (ME), M, n = 8","Pb chloride",,"Oral, drinking water",,"Oral, lactation",,"In utero",Yes,Preconception,Prenatal,Postnatal,Juvenile/Adolescent,,,"PW group: PND 21 to PND 42
ME group: GD -21 to PND 20","Short-Term (less than or equal to 30 days)",21,"Long-Term (greater than 30 days)",63,"Duration for ME group calculated from 21 pre-gestational days, 22 days gestation, and 20 days postnatally.","PND 63 to  PND 68","PND 21:
7.36 ug/L (0.74 ug/dL) for Control
NR for 2mM - PW
146.6 ug/L (14.7 ug/dL) for 2mM - ME

PND 63:
9.22 ug/L (0.92 ug/dL) for Control
147.9 ug/L (14.8 ug/dL) for 2mM - PW
46.13 ug/L (4.6 ug/dL) for 2mM - ME","PND 21:
0.74 ug/dL for Control
NR for 2mM - PW
14.7 ug/dL for 2mM - ME

PND 63:
0.92 ug/dL for Control
14.8 ug/dL for 2mM - PW
4.6 ug/dL for 2mM - ME",Yes,
3043072,"Han, X. J., Xiao, Y. M., Ai, B. M., Hu, X. X., Wei, Q., Hu, Q. S.","Effects of organic selenium on lead-induced impairments of spatial learning and memory as well as synaptic structural plasticity in rats",2014,Hester.Kirstin@epa.gov,2,"Brain Structure and Function",Histopathology,Yes,,,,,,Rat,,,Wistar,,,,,,,,,,"Control (tap water), M, n = 8 
2 mM - post-weaning (PW), M, n = 8
2 mM - maternal exposure (ME), M, n = 8","Pb chloride",,"Oral, drinking water",,"Oral, lactation",,"In utero",Yes,Preconception,Prenatal,Postnatal,Juvenile/Adolescent,,,"PW group: PND 21 to PND 42
ME group: GD -21 to PND 20","Short-Term (less than or equal to 30 days)",21,"Long-Term (greater than 30 days)",63,"Duration for ME group calculated from 21 pre-gestational days, 22 days gestation, and 20 days postnatally.","PND 68","PND 21:
7.36 ug/L (0.74 ug/dL) for Control
NR for 2mM - PW
146.6 ug/L (14.7 ug/dL) for 2mM - ME

PND 63:
9.22 ug/L (0.92 ug/dL) for Control
147.9 ug/L (14.8 ug/dL) for 2mM - PW
46.13 ug/L (4.6 ug/dL) for 2mM - ME","PND 21:
0.74 ug/dL for Control
NR for 2mM - PW
14.7 ug/dL for 2mM - ME

PND 63:
0.92 ug/dL for Control
14.8 ug/dL for 2mM - PW
4.6 ug/dL for 2mM - ME",Yes,"Neuropathological endpoints include: neuron and synapse counts, and synaptic structural parameters."
3116024,"Flores-Montoya, M. G., Alvarez, J. M., Sobin, C.","Olfactory recognition memory is disrupted in young mice with chronic low-level lead exposure",2015,carlson.laura@epa.gov,2,"Cognitive Function","Novel Odor Recognition",Yes,,,,,Mouse,,,,,,,C57BL/6,,,,,,,"Control (Sodium treated water), M/F, n = 10 (8/2)
30 ppm, M/F, n = 10 (5/5)
330 ppm, M/F, n = 13 (7/6)","Pb acetate",,"Oral, drinking water",,,,,Yes,,Prenatal,Postnatal,,,,"GD 0 to PND 28",,,"Long-Term (greater than 30 days)",49,,"PND 28","PND 28 - Females:
0.02 ug/dL for Control
2.63 ug/dL for 30 ppm
12.92 ug/dL for 330ppm

PND 28 - Males:
0.31 ug/dL for Control
3.10 ug/dL for 30ppm
15.21 ug/dL for 330 ppm","PND 28 - Females:
0.02 ug/dL for Control
2.63 ug/dL for 30 ppm
12.92 ug/dL for 330ppm

PND 28 - Males:
0.31 ug/dL for Control
3.10 ug/dL for 30ppm
15.21 ug/dL for 330 ppm",No,"Blood lead level data in Table 1"
3446425,"Barkur, R. R., Bairy, L. K.","Assessment of oxidative stress in hippocampus, cerebellum and frontal cortex in rat pups exposed to lead (Pb) during specific periods of initial brain development",2015,Anderson.Timothy@epa.gov,2,"Brain Structure and Function","Brain Weight",Yes,,,,,,Rat,,,Wistar,,,,,,,,,,"Control (untreated), M/F, n = 9
0.2% solution - Pre-gestation, M/F, n = 9
0.2% solution - Lactation, M/F, n = 9
0.2% solution - Gestation, M/F, n = 9
0.2% solution - Gestation and Lactation, M/F, n = 9","Pb acetate",,,,,,"In utero",Yes,Preconception,Prenatal,Postnatal,,,,"Pre-gestation exposure - GD -30 to GD 0
Lactation-only exposure - PND 0 to PND 22
Gestational exposure - GD 0 to GD 20
Gestation and Lactation exposure - GD 0 to PND 22","Short-Term (less than or equal to 30 days)",20,"Long-Term (greater than 30 days)",42,"Each group received the same dose of Pb but during a different period of development.","PND 30","PND 22: 
0.19 ug/dL for Control
3.04 ug/dL for 0.2% Pre-gestation
5.26 ug/dL for 0.2% Gestation
26.8 ug/dL for 0.2% Lactation
31.9 ug/dL for 0.2% Gestation and Lactation","PND 22: 
0.19 ug/dL for Control
3.04 ug/dL for 0.2% Pre-gestation
5.26 ug/dL for 0.2% Gestation
26.8 ug/dL for 0.2% Lactation
31.9 ug/dL for 0.2% Gestation and Lactation",Yes,
3446834,"Chand Basha, D., Saya Reddy, N., Usha Rani, M., Rajarami Reddy, G.","Age related changes in aminergic system and behavior following lead exposure: protection with essential metal supplements",2014,Hester.Kirstin@epa.gov,2,"Internalizing Behaviors","Open Field Test",Yes,,,,,,Rat,,,,"Not Specified",,,,,,,,,"Control (deionized water), M, n = 6
0.2% solution, M, n = 6","Pb acetate",,,,"Oral, lactation",,,Yes,,,Postnatal,,,,"PND 1 to PND 21","Short-Term (less than or equal to 30 days)",20,,,"On PND 1, pups were pooled and reassigned to male-only litters of 8 where they were lactationally exposed to Pb. 

The authors do not specify the initial number of dams or pups used. They state 72 male pups were used in the experiments, which 3 litters of 8/treatment group. 

The authors do not specify the strain of rat used.","PND 45, 4 mo, 12 mo, 18 mo","PND 45:
0.42 ug/dL for Control
49.5 ug/dL for 0.2% solution

4 mo:
0.56 ug/dL for Control
14.4 ug/dL for 0.2% solution

12 mo:
0.46 ug/dL for Control
6.96 ug/dL for 0.2% solution

18 mo:
0.12 ug/dL for Control
11.2 ug/dL for 0.2% solution","PND 45:
0.42 ug/dL for Control
49.5 ug/dL for 0.2% solution

4 mo:
0.56 ug/dL for Control
14.4 ug/dL for 0.2% solution

12 mo:
0.46 ug/dL for Control
6.96 ug/dL for 0.2% solution

18 mo:
0.12 ug/dL for Control
11.2 ug/dL for 0.2% solution",Yes,
3446834,"Chand Basha, D., Saya Reddy, N., Usha Rani, M., Rajarami Reddy, G.","Age related changes in aminergic system and behavior following lead exposure: protection with essential metal supplements",2014,Anderson.Timothy@epa.gov,2,"Motor Function","Open Field Test",Yes,,,,,,Rat,,,,"Not Specified",,,,,,,,,"Control (deionized water), M, n = 6
0.2% solution, M, n = 6","Pb acetate",,,,"Oral, lactation",,,Yes,,,Postnatal,,,,"PND 1 to PND 21","Short-Term (less than or equal to 30 days)",20,,,"On PND 1, pups were pooled and reassigned to male-only litters of 8 where they were lactationally exposed to Pb. 

The authors do not specify the initial number of dams or pups used. They state 72 male pups were used in the experiments, which 3 litters of 8/treatment group. 

The authors do not specify the strain of rat used.","PND 45, 4 mo, 12 mo, 18 mo","PND 45:
0.42 ug/dL for Control
49.5 ug/dL for 0.2% solution

4 mo:
0.56 ug/dL for Control
14.4 ug/dL for 0.2% solution

12 mo:
0.46 ug/dL for Control
6.96 ug/dL for 0.2% solution

18 mo:
0.12 ug/dL for Control
11.2 ug/dL for 0.2% solution","PND 45:
0.42 ug/dL for Control
49.5 ug/dL for 0.2% solution

4 mo:
0.56 ug/dL for Control
14.4 ug/dL for 0.2% solution

12 mo:
0.46 ug/dL for Control
6.96 ug/dL for 0.2% solution

18 mo:
0.12 ug/dL for Control
11.2 ug/dL for 0.2% solution",Yes,
3446834,"Chand Basha, D., Saya Reddy, N., Usha Rani, M., Rajarami Reddy, G.","Age related changes in aminergic system and behavior following lead exposure: protection with essential metal supplements",2014,Anderson.Timothy@epa.gov,2,"Motor Function","Locomotor Activity",Yes,,,,,,Rat,,,,"Not Specified",,,,,,,,,"Control (deionized water), M, n = 6
0.2% solution, M, n = 6","Pb acetate",,,,"Oral, lactation",,,Yes,,,Postnatal,,,,"PND 1 to PND 21","Short-Term (less than or equal to 30 days)",20,,,"On PND 1, pups were pooled and reassigned to male-only litters of 8 where they were lactationally exposed to Pb. 

The authors do not specify the initial number of dams or pups used. They state 72 male pups were used in the experiments, which 3 litters of 8/treatment group. 

The authors do not specify the strain of rat used.","PND 45, 4 mo, 12 mo, 18 mo","PND 45:
0.42 ug/dL for Control
49.5 ug/dL for 0.2% solution

4 mo:
0.56 ug/dL for Control
14.4 ug/dL for 0.2% solution

12 mo:
0.46 ug/dL for Control
6.96 ug/dL for 0.2% solution

18 mo:
0.12 ug/dL for Control
11.2 ug/dL for 0.2% solution","PND 45:
0.42 ug/dL for Control
49.5 ug/dL for 0.2% solution

4 mo:
0.56 ug/dL for Control
14.4 ug/dL for 0.2% solution

12 mo:
0.46 ug/dL for Control
6.96 ug/dL for 0.2% solution

18 mo:
0.12 ug/dL for Control
11.2 ug/dL for 0.2% solution",Yes,
3446834,"Chand Basha, D., Saya Reddy, N., Usha Rani, M., Rajarami Reddy, G.","Age related changes in aminergic system and behavior following lead exposure: protection with essential metal supplements",2014,Anderson.Timothy@epa.gov,2,"Internalizing Behaviors","Hole Board Test",Yes,,,,,,Rat,,,,"Not Specified",,,,,,,,,"Control (deionized water), M, n = 6
0.2% solution, M, n = 6","Pb acetate",,,,"Oral, lactation",,,Yes,,,Postnatal,,,,"PND 1 to PND 21","Short-Term (less than or equal to 30 days)",20,,,"On PND 1, pups were pooled and reassigned to male-only litters of 8 where they were lactationally exposed to Pb. 

The authors do not specify the initial number of dams or pups used. They state 72 male pups were used in the experiments, which 3 litters of 8/treatment group. 

The authors do not specify the strain of rat used.","PND 45, 4 mo, 12 mo, 18 mo","PND 45:
0.42 ug/dL for Control
49.5 ug/dL for 0.2% solution

4 mo:
0.56 ug/dL for Control
14.4 ug/dL for 0.2% solution

12 mo:
0.46 ug/dL for Control
6.96 ug/dL for 0.2% solution

18 mo:
0.12 ug/dL for Control
11.2 ug/dL for 0.2% solution","PND 45:
0.42 ug/dL for Control
49.5 ug/dL for 0.2% solution

4 mo:
0.56 ug/dL for Control
14.4 ug/dL for 0.2% solution

12 mo:
0.46 ug/dL for Control
6.96 ug/dL for 0.2% solution

18 mo:
0.12 ug/dL for Control
11.2 ug/dL for 0.2% solution",Yes,
3446834,"Chand Basha, D., Saya Reddy, N., Usha Rani, M., Rajarami Reddy, G.","Age related changes in aminergic system and behavior following lead exposure: protection with essential metal supplements",2014,Anderson.Timothy@epa.gov,2,"Brain Structure and Function","Neurotransmitter Analysis",Yes,,,,,,Rat,,,,"Not Specified",,,,,,,,,"Control (deionized water), M, n = 6
0.2% solution, M, n = 6","Pb acetate",,,,"Oral, lactation",,,Yes,,,Postnatal,,,,"PND 1 to PND 21","Short-Term (less than or equal to 30 days)",20,,,"On PND 1, pups were pooled and reassigned to male-only litters of 8 where they were lactationally exposed to Pb. 

The authors do not specify the initial number of dams or pups used. They state 72 male pups were used in the experiments, which 3 litters of 8/treatment group. 

The authors do not specify the strain of rat used.","PND 45, 4 mo, 12 mo, 18 mo","PND 45:
0.42 ug/dL for Control
49.5 ug/dL for 0.2% solution

4 mo:
0.56 ug/dL for Control
14.4 ug/dL for 0.2% solution

12 mo:
0.46 ug/dL for Control
6.96 ug/dL for 0.2% solution

18 mo:
0.12 ug/dL for Control
11.2 ug/dL for 0.2% solution","PND 45:
0.42 ug/dL for Control
49.5 ug/dL for 0.2% solution

4 mo:
0.56 ug/dL for Control
14.4 ug/dL for 0.2% solution

12 mo:
0.46 ug/dL for Control
6.96 ug/dL for 0.2% solution

18 mo:
0.12 ug/dL for Control
11.2 ug/dL for 0.2% solution",Yes,"The study assessed several neurotransmitters (Dopamine, Epinephrine, and Norepinephrine) in various brain regions (cerebral cortex, cerebellum, and hippocampus)."
3447053,"Rahman, A., Khan, K. M., Al-Khaledi, G., Khan, I., Attur, S.","Early postnatal lead exposure induces tau phosphorylation in the brain of young rats",2012,carlson.laura@epa.gov,2,"Cognitive Function","Morris Water Maze",Yes,,,,,,Rat,,,Wistar,,,,,,,,,,"Control, M/F, n = 6 
0.2% solution (0.002 g/mL),  M/F, n = 10","Pb acetate",,"Oral, drinking water",,,,,Yes,,,Postnatal,,,,"PND 1 to PND 21","Short-Term (less than or equal to 30 days)",21,,,"The authors do not report the total number of litters or the sexes of the animals tested in the morris water maze. They indicate testing was at PND 21, but present data for a 7 day timecourse, unclear if testing was terminated at PND 21 or PND 28.","PND 21","PND 21: 
1.35 ug/dL for Control
12.40 ug/dL for 0.2% solution","PND 21: 
1.35 ug/dL for Control
12.40 ug/dL for 0.2% solution",No,"*authors do not note the sex of the animals they tested, presumably males and females within the litter?"
3447234,"Rahman, A., Khan, K. M., Al-Khaledi, G., Khan, I., Al-Shemary, T.","Over activation of hippocampal serine/threonine protein phosphatases PP1 and PP2A is involved in lead-induced deficits in learning and memory in young rats",2012,Hester.Kirstin@epa.gov,2,"Cognitive Function","Morris Water Maze",Yes,,,,,,Rat,,,Wistar,,,,,,,,,,"Control (tap water), M/F, n = 6
0.2% solution, M/F, n = 10","Pb acetate",,"Oral, drinking water",,"Oral, lactation",,,Yes,,,Postnatal,Juvenile/Adolescent,,,"PND 1 to PND 30","Short-Term (less than or equal to 30 days)",30,,,"Pups were exposed through their dams until PND 21, when they switched to drinking water exposure until PND 30. Authors' report that control animals were exposed to tap water, while Pb solutions were prepared in distilled water. Statistical unit is the individual, but litter effects were partially controlled for (i.e., some studies used more than 1 pup/litter, but all litters were represented in each group).","PND 21, 30","PND 21:
1.4 ug/dL for Control
12.1 ug/dL for 0.2% solution

PND 30:
1.2 ug/dL for Control
12.8 ug/dL for 0.2% solution","PND 21:
1.4 ug/dL for Control
12.1 ug/dL for 0.2% solution

PND 30:
1.2 ug/dL for Control
12.8 ug/dL for 0.2% solution",Yes,"A variation of the MWM was used, wherein the testing apparatus was not split into four equal quadrants Instead, the apparatus was divided into three equal zones, and the target zone was defined as a smaller area around the platform, completely contained within one of the three larger zones."
3447234,"Rahman, A., Khan, K. M., Al-Khaledi, G., Khan, I., Al-Shemary, T.","Over activation of hippocampal serine/threonine protein phosphatases PP1 and PP2A is involved in lead-induced deficits in learning and memory in young rats",2012,Hester.Kirstin@epa.gov,2,"Brain Structure and Function","Brain Weight",Yes,,,,,,Rat,,,Wistar,,,,,,,,,,"Control (tap water), M/F, n = 6-12
0.2% solution, M/F, n = 6-12","Pb acetate",,"Oral, drinking water",,"Oral, lactation",,,Yes,,,Postnatal,Juvenile/Adolescent,,,"PND 1 to PND 30","Short-Term (less than or equal to 30 days)",30,,,"Pups were exposed through their dams until PND 21, when they switched to drinking water exposure until PND 30. Authors' report that control animals were exposed to tap water, while Pb solutions were prepared in distilled water. Statistical unit is the individual, but litter effects were partially controlled for (i.e., some studies used more than 1 pup/litter, but all litters were represented in each group). It is unclear which cohort of animals was used for brain weight measurements.","PND 21, 30","PND 21:
1.4 ug/dL for Control
12.1 ug/dL for 0.2% solution

PND 30:
1.2 ug/dL for Control
12.8 ug/dL for 0.2% solution","PND 21:
1.4 ug/dL for Control
12.1 ug/dL for 0.2% solution

PND 30:
1.2 ug/dL for Control
12.8 ug/dL for 0.2% solution",Yes,
3447234,"Rahman, A., Khan, K. M., Al-Khaledi, G., Khan, I., Al-Shemary, T.","Over activation of hippocampal serine/threonine protein phosphatases PP1 and PP2A is involved in lead-induced deficits in learning and memory in young rats",2012,Hester.Kirstin@epa.gov,2,"Brain Structure and Function",Histopathology,Yes,,,,,,Rat,,,Wistar,,,,,,,,,,"Control (tap water), M/F, n = 4
0.2% solution, M/F, n = 4","Pb acetate",,"Oral, drinking water",,"Oral, lactation",,,Yes,,,Postnatal,Juvenile/Adolescent,,,"PND 1 to PND 30","Short-Term (less than or equal to 30 days)",30,,,"Pups were exposed through their dams until PND 21, when they switched to drinking water exposure until PND 30. Authors' report that control animals were exposed to tap water, while Pb solutions were prepared in distilled water. Statistical unit is the individual, but litter effects were partially controlled for (i.e., some studies used more than 1 pup/litter, but all litters were represented in each group).","PND 21, 30","PND 21:
1.4 ug/dL for Control
12.1 ug/dL for 0.2% solution

PND 30:
1.2 ug/dL for Control
12.8 ug/dL for 0.2% solution","PND 21:
1.4 ug/dL for Control
12.1 ug/dL for 0.2% solution

PND 30:
1.2 ug/dL for Control
12.8 ug/dL for 0.2% solution",Yes,"Neuropathological endpoint is synapse count."
